CODFILIAL;FILIAL;IDPERLET;PERIODO_LETIVO;CODBOLSA;BOLSA;CODCURSO;CURSO;MODALIDADE;PERCENTUAL;FIXO_MAX;PARCELA_INICIAL;PARCELA_FINAL
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;31;2ª Graduação - CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;31;2ª Graduação - CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;32;2ª Graduação - Outras IES;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;32;2ª Graduação - Outras IES;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;1;Bolsa CNEC 100%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;1;Bolsa CNEC 100%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;2;Bolsa CNEC 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;2;Bolsa CNEC 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;5;Bolsa Desconto Folha;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;5;Bolsa Desconto Folha;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;23;Bolsa Enem;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;23;Bolsa Enem;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;35;Captação Calouros;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;35;Captação Calouros;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;8;CCT/ACT;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;8;CCT/ACT;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;15;Cnec Antecipação;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;15;Cnec Antecipação;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;12;CNEC Colaborador;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;12;CNEC Colaborador;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;24;CNEC Parceria Incondicional;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;24;CNEC Parceria Incondicional;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;11;CNEC Parcerias;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;11;CNEC Parcerias;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;9;Desconto Comercial;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;9;Desconto Comercial;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;20;Desconto Comercial Incondicional;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;20;Desconto Comercial Incondicional;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;10;Desconto Família;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;10;Desconto Família;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;30;Egresso - EB CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;30;Egresso - EB CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;29;Enem - 100%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;29;Enem - 100%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;25;Enem - 20%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;25;Enem - 20%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;26;Enem - 30%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;26;Enem - 30%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;27;Enem - 40%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;27;Enem - 40%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;28;Enem - 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;28;Enem - 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;33;Evadidos Trancados;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;33;Evadidos Trancados;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;6;Fies CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;6;Fies CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;18;Fies Novo;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;18;Fies Novo;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;7;Fies*;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;7;Fies*;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;3;Prouni – 100%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;3;Prouni – 100%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;4;Prouni – 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;4;Prouni – 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;19;Subvenção;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;19;Subvenção;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;34;Transferidos de outras IES;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;34;Transferidos de outras IES;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;31;2ª Graduação - CNEC;GP001;Administração;Presencial;25;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;31;2ª Graduação - CNEC;GP055;Sistemas de Informação;Presencial;25;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;32;2ª Graduação - Outras IES;GP001;Administração;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;32;2ª Graduação - Outras IES;GP055;Sistemas de Informação;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;1;Bolsa CNEC 100%;GP001;Administração;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;1;Bolsa CNEC 100%;GP055;Sistemas de Informação;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;2;Bolsa CNEC 50%;GP001;Administração;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;2;Bolsa CNEC 50%;GP055;Sistemas de Informação;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;5;Bolsa Desconto Folha;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;5;Bolsa Desconto Folha;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;23;Bolsa Enem;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;23;Bolsa Enem;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;35;Captação Calouros;GP001;Administração;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;35;Captação Calouros;GP055;Sistemas de Informação;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;8;CCT/ACT;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;8;CCT/ACT;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;15;Cnec Antecipação;GP001;Administração;Presencial;15;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;15;Cnec Antecipação;GP055;Sistemas de Informação;Presencial;15;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;12;CNEC Colaborador;GP001;Administração;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;12;CNEC Colaborador;GP055;Sistemas de Informação;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;24;CNEC Parceria Incondicional;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;24;CNEC Parceria Incondicional;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;11;CNEC Parcerias;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;11;CNEC Parcerias;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;9;Desconto Comercial;GP001;Administração;Presencial;;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;9;Desconto Comercial;GP055;Sistemas de Informação;Presencial;;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;20;Desconto Comercial Incondicional;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;20;Desconto Comercial Incondicional;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;10;Desconto Família;GP001;Administração;Presencial;25;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;10;Desconto Família;GP055;Sistemas de Informação;Presencial;25;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;30;Egresso - EB CNEC;GP001;Administração;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;30;Egresso - EB CNEC;GP055;Sistemas de Informação;Presencial;20;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;29;Enem - 100%;GP001;Administração;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;29;Enem - 100%;GP055;Sistemas de Informação;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;25;Enem - 20%;GP001;Administração;Presencial;20;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;25;Enem - 20%;GP055;Sistemas de Informação;Presencial;20;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;26;Enem - 30%;GP001;Administração;Presencial;30;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;26;Enem - 30%;GP055;Sistemas de Informação;Presencial;30;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;27;Enem - 40%;GP001;Administração;Presencial;40;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;27;Enem - 40%;GP055;Sistemas de Informação;Presencial;40;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;28;Enem - 50%;GP001;Administração;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;28;Enem - 50%;GP055;Sistemas de Informação;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;33;Evadidos Trancados;GP001;Administração;Presencial;30;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;33;Evadidos Trancados;GP055;Sistemas de Informação;Presencial;30;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;6;Fies CNEC;GP001;Administração;Presencial;50;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;6;Fies CNEC;GP055;Sistemas de Informação;Presencial;50;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;18;Fies Novo;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;18;Fies Novo;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;7;Fies*;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;7;Fies*;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;3;Prouni – 100%;GP001;Administração;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;3;Prouni – 100%;GP055;Sistemas de Informação;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;4;Prouni – 50%;GP001;Administração;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;4;Prouni – 50%;GP055;Sistemas de Informação;Presencial;50;1;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;19;Subvenção;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;19;Subvenção;GP055;Sistemas de Informação;Presencial;100;0;1;6
