CODFILIAL;FILIAL;IDPERLET;PERIODO_LETIVO;CODBOLSA;BOLSA;CODCURSO;CURSO;MODALIDADE;PERCENTUAL;FIXO_MAX;PARCELA_INICIAL;PARCELA_FINAL
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;31;2ª Graduação - CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;31;2ª Graduação - CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;32;2ª Graduação - Outras IES;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;32;2ª Graduação - Outras IES;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;1;Bolsa CNEC 100%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;1;Bolsa CNEC 100%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;2;Bolsa CNEC 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;2;Bolsa CNEC 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;5;Bolsa Desconto Folha;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;5;Bolsa Desconto Folha;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;35;Captação Calouros;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;35;Captação Calouros;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;8;CCT/ACT;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;8;CCT/ACT;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;15;Cnec Antecipação;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;15;Cnec Antecipação;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;12;CNEC Colaborador;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;12;CNEC Colaborador;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;24;CNEC Parceria Incondicional;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;24;CNEC Parceria Incondicional;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;11;CNEC Parcerias;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;11;CNEC Parcerias;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;60;Coparticipação FIES NOVO;GP001;Administração;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;60;Coparticipação FIES NOVO;GP055;Sistemas de Informação;Presencial;100;0;1;6
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;41;Desconto 1º Turma;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;41;Desconto 1º Turma;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;9;Desconto Comercial;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;9;Desconto Comercial;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;67;Desconto Comercial - P1;GP001;Administração;Presencial;100;0;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;67;Desconto Comercial - P1;GP055;Sistemas de Informação;Presencial;100;0;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;20;Desconto Comercial Incondicional;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;20;Desconto Comercial Incondicional;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;10;Desconto Família;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;10;Desconto Família;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;42;Desconto Família - 10%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;42;Desconto Família - 10%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;80;Desconto Família - 10% - P1;GP001;Administração;Presencial;10;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;80;Desconto Família - 10% - P1;GP055;Sistemas de Informação;Presencial;10;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;43;Desconto Família - 15%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;43;Desconto Família - 15%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;79;Desconto Família - 15% - P1;GP001;Administração;Presencial;15;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;79;Desconto Família - 15% - P1;GP055;Sistemas de Informação;Presencial;15;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;44;Desconto Família - 20%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;44;Desconto Família - 20%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;78;Desconto Família - 20% - P1;GP001;Administração;Presencial;20;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;78;Desconto Família - 20% - P1;GP055;Sistemas de Informação;Presencial;20;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;45;Desconto Família - 25%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;45;Desconto Família - 25%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;77;Desconto Família - 25% - P1;GP001;Administração;Presencial;25;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;77;Desconto Família - 25% - P1;GP055;Sistemas de Informação;Presencial;25;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;46;Desconto Família - 30%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;46;Desconto Família - 30%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;76;Desconto Família - 30% - P1;GP001;Administração;Presencial;30;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;76;Desconto Família - 30% - P1;GP055;Sistemas de Informação;Presencial;30;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;47;Desconto Família - 35%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;47;Desconto Família - 35%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;75;Desconto Família - 35% - P1;GP001;Administração;Presencial;35;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;75;Desconto Família - 35% - P1;GP055;Sistemas de Informação;Presencial;35;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;48;Desconto Família - 40%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;48;Desconto Família - 40%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;74;Desconto Família - 40% - P1;GP001;Administração;Presencial;40;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;74;Desconto Família - 40% - P1;GP055;Sistemas de Informação;Presencial;40;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;49;Desconto Família - 45%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;49;Desconto Família - 45%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;73;Desconto Família - 45% - P1;GP001;Administração;Presencial;45;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;73;Desconto Família - 45% - P1;GP055;Sistemas de Informação;Presencial;45;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;50;Desconto Família - 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;50;Desconto Família - 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;72;Desconto Família - 50% - P1;GP001;Administração;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;72;Desconto Família - 50% - P1;GP055;Sistemas de Informação;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;40;Desconto Incodicional - FIES;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;40;Desconto Incodicional - FIES;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;30;Egresso - EB CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;30;Egresso - EB CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;36;Enem - 10%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;36;Enem - 10%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;66;Enem - 10% - P1;GP001;Administração;Presencial;10;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;66;Enem - 10% - P1;GP055;Sistemas de Informação;Presencial;10;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;29;Enem - 100%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;29;Enem - 100%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;25;Enem - 20%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;25;Enem - 20%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;62;Enem - 20% - P1;GP001;Administração;Presencial;20;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;62;Enem - 20% - P1;GP055;Sistemas de Informação;Presencial;20;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;26;Enem - 30%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;26;Enem - 30%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;63;Enem - 30% - P1;GP001;Administração;Presencial;30;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;63;Enem - 30% - P1;GP055;Sistemas de Informação;Presencial;30;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;27;Enem - 40%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;27;Enem - 40%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;64;Enem - 40% - P1;GP001;Administração;Presencial;40;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;64;Enem - 40% - P1;GP055;Sistemas de Informação;Presencial;40;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;28;Enem - 50%;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;28;Enem - 50%;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;65;Enem - 50% - P1;GP001;Administração;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;65;Enem - 50% - P1;GP055;Sistemas de Informação;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;33;Evadidos Trancados;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;33;Evadidos Trancados;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;6;Fies CNEC;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;6;Fies CNEC;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;18;Fies Novo;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;18;Fies Novo;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;7;Fies*;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;7;Fies*;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;3;Prouni – 100%;GP001;Administração;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;3;Prouni – 100%;GP055;Sistemas de Informação;Presencial;100;1;1;6
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;4;Prouni – 50%;GP001;Administração;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;4;Prouni – 50%;GP055;Sistemas de Informação;Presencial;50;1;1;1
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;19;Subvenção;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;19;Subvenção;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;34;Transferidos de outras IES;GP001;Administração;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;3;2019-1;34;Transferidos de outras IES;GP055;Sistemas de Informação;Presencial;;;;
49;Faculdade Cenecista de Sete Lagoas;2541;2019-2;31;2ª Graduação - CNEC;GP001;Administração;Presencial;;;;
