CODFILIAL;FILIAL;IDPERLET;PERIODO_LETIVO;CODBOLSA;BOLSA;CODCURSO;CURSO;MODALIDADE;PERCENTUAL;FIXO_MAX;PARCELA_INICIAL;PARCELA_FINAL
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD001;Administração;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD057;Análise e Desenvolvimento de Sistemas;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD007;Ciências Contábeis;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD015;Educação Física;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD020;Engenharia de Produção;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD071;Gestão Ambiental;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD072;Gestão Comercial;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD075;Gestão de Recursos Humanos;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD073;Gestão Financeira;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD074;Gestão Pública;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD037;Letras;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD077;Logística;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD078;Marketing;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD041;Matemática;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD045;Pedagogia;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD046;Pedagogia - Segunda Licenciatura;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD079;Processos Gerenciais;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD055;Sistemas de Informação;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;31;2ª Graduação - CNEC;GD084;Teologia;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD001;Administração;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD057;Análise e Desenvolvimento de Sistemas;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD007;Ciências Contábeis;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD015;Educação Física;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD020;Engenharia de Produção;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD071;Gestão Ambiental;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD072;Gestão Comercial;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD075;Gestão de Recursos Humanos;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD073;Gestão Financeira;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD074;Gestão Pública;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD037;Letras;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD077;Logística;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD078;Marketing;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD041;Matemática;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD045;Pedagogia;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD046;Pedagogia - Segunda Licenciatura;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD079;Processos Gerenciais;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD055;Sistemas de Informação;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;32;2ª Graduação - Outras IES;GD084;Teologia;A Distância;20;0;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD001;Administração;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD057;Análise e Desenvolvimento de Sistemas;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD007;Ciências Contábeis;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD015;Educação Física;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD020;Engenharia de Produção;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD071;Gestão Ambiental;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD072;Gestão Comercial;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD075;Gestão de Recursos Humanos;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD073;Gestão Financeira;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD074;Gestão Pública;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD037;Letras;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD077;Logística;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD078;Marketing;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD041;Matemática;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD045;Pedagogia;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD046;Pedagogia - Segunda Licenciatura;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD079;Processos Gerenciais;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD055;Sistemas de Informação;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;1;Bolsa CNEC 100%;GD084;Teologia;A Distância;100;1;1;6
169;Centro Universitário Cenecista de Osório;2398;2019-21;2;Bolsa CNEC 50%;GD001;Administração;A Distância;50;1;1;6
