CODFILIAL;FILIAL;IDPERLET;PERIODO_LETIVO;CODBOLSA;BOLSA;CODCURSO;CURSO;MODALIDADE;PERCENTUAL;FIXO_MAX;PARCELA_INICIAL;PARCELA_FINAL
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;17;CCT/ACT;EP005;Especialização em Educação 4.0;Presencial;100;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;17;CCT/ACT;EP008;Especialização em Metodologias Ativas;Presencial;100;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;17;CCT/ACT;EP020;MBA em Gestão de Negócios Digitais;Presencial;100;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;17;CCT/ACT;EP021;MBA em Gestão de Startups;Presencial;100;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;39;CNEC - Colaborador;EP005;Especialização em Educação 4.0;Presencial;20;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;39;CNEC - Colaborador;EP008;Especialização em Metodologias Ativas;Presencial;20;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;39;CNEC - Colaborador;EP020;MBA em Gestão de Negócios Digitais;Presencial;20;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;39;CNEC - Colaborador;EP021;MBA em Gestão de Startups;Presencial;20;0;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;51;CNEC - Familia - 10%;EP005;Especialização em Educação 4.0;Presencial;10;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;51;CNEC - Familia - 10%;EP008;Especialização em Metodologias Ativas;Presencial;10;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;51;CNEC - Familia - 10%;EP020;MBA em Gestão de Negócios Digitais;Presencial;10;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;51;CNEC - Familia - 10%;EP021;MBA em Gestão de Startups;Presencial;10;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;52;CNEC - Familia - 15%;EP005;Especialização em Educação 4.0;Presencial;15;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;52;CNEC - Familia - 15%;EP008;Especialização em Metodologias Ativas;Presencial;15;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;52;CNEC - Familia - 15%;EP020;MBA em Gestão de Negócios Digitais;Presencial;15;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;52;CNEC - Familia - 15%;EP021;MBA em Gestão de Startups;Presencial;15;1;1;18
52;FACULDADE CNEC DE EDUCAÇÃO DE UBERABA - FACEUB;2565;2019-09;53;CNEC - Familia - 20%;EP005;Especialização em Educação 4.0;Presencial;20;1;1;18
